Date,Open,High,Low,Close,Adj Close,Volume
2021-03-27,0.090026,0.096751,0.089098,0.089108,0.089108,1024862215
2021-03-28,0.088994,0.093950,0.088473,0.091209,0.091209,769417006
2021-03-29,0.091211,0.093422,0.088808,0.092089,0.092089,718265928
2021-03-30,0.092137,0.092171,0.088710,0.089685,0.089685,764836215
2021-03-31,0.089690,0.090235,0.083477,0.088057,0.088057,842889319
2021-04-01,0.088070,0.092007,0.087463,0.089040,0.089040,882641053
2021-04-02,0.088971,0.096070,0.087546,0.095040,0.095040,967246704
2021-04-03,0.094968,0.098024,0.088819,0.088819,0.088819,896290514
2021-04-04,0.088876,0.094341,0.088632,0.094087,0.094087,709315841
2021-04-05,0.094062,0.108741,0.092798,0.102560,0.102560,1496919428
2021-04-06,0.102373,0.115362,0.100233,0.112700,0.112700,1576282193
2021-04-07,0.112173,0.120981,0.098826,0.105710,0.105710,1596828083
2021-04-08,0.106157,0.118003,0.105394,0.117249,0.117249,1040294333
2021-04-09,0.117233,0.134160,0.116416,0.126563,0.126563,1614037985
2021-04-10,0.126111,0.147785,0.125081,0.142626,0.142626,2402173346
2021-04-11,0.142220,0.145148,0.130844,0.139742,0.139742,1606079521
2021-04-12,0.139677,0.140069,0.127215,0.128923,0.128923,1360850861
2021-04-13,0.128878,0.158618,0.128878,0.152962,0.152962,2008988288
2021-04-14,0.153063,0.176183,0.153063,0.168743,0.168743,3003006411
2021-04-15,0.168302,0.189379,0.168302,0.176571,0.176571,2343016461
2021-04-16,0.175853,0.245685,0.159222,0.238089,0.238089,4767793713
2021-04-17,0.235120,0.278216,0.215658,0.227585,0.227585,5627201729
2021-04-18,0.229234,0.254632,0.176557,0.254632,0.254632,4607771248
2021-04-19,0.253206,0.267643,0.222397,0.229339,0.229339,3625884888
2021-04-20,0.228207,0.265563,0.206227,0.251997,0.251997,3359505569
2021-04-21,0.251142,0.254504,0.222260,0.227231,0.227231,2359769963
2021-04-22,0.226101,0.235049,0.178325,0.190797,0.190797,3509134607
2021-04-23,0.190201,0.206019,0.133280,0.201285,0.201285,5799174515
2021-04-24,0.201849,0.205791,0.177661,0.178279,0.178279,2566155758
2021-04-25,0.178359,0.188057,0.155519,0.167779,0.167779,1974505121
2021-04-26,0.168129,0.198868,0.165410,0.188862,0.188862,2640721177
2021-04-27,0.188594,0.223116,0.185279,0.208920,0.208920,3067552593
2021-04-28,0.208102,0.214590,0.187805,0.198600,0.198600,2494693369
2021-04-29,0.198512,0.200485,0.181961,0.191357,0.191357,2219882058
2021-04-30,0.191357,0.203335,0.186739,0.201079,0.201079,1884403790
2021-05-01,0.201017,0.207836,0.193227,0.204190,0.204190,1583517270
2021-05-02,0.203999,0.224978,0.197417,0.216028,0.216028,2686761496
2021-05-03,0.215197,0.221950,0.206315,0.210779,0.210779,1989302263
2021-05-04,0.210865,0.210984,0.185798,0.188579,0.188579,2474369356
2021-05-05,0.187683,0.208611,0.186304,0.207319,0.207319,2290077819
2021-05-06,0.207294,0.222249,0.201062,0.215280,0.215280,2577328385
2021-05-07,0.215708,0.249929,0.213573,0.230846,0.230846,4160493194
2021-05-08,0.230388,0.236248,0.219015,0.223312,0.223312,1932906248
2021-05-09,0.223304,0.237098,0.209358,0.233757,0.233757,2303277847
2021-05-10,0.233770,0.239314,0.188777,0.202802,0.202802,2172670700
2021-05-11,0.202982,0.213315,0.195678,0.212827,0.212827,2017218810
2021-05-12,0.212768,0.214833,0.164562,0.164562,0.164562,2009703771
2021-05-13,0.167378,0.190018,0.158443,0.182071,0.182071,3086028058
2021-05-14,0.181906,0.192732,0.177720,0.186740,0.186740,1690827423
2021-05-15,0.186617,0.187745,0.170121,0.172095,0.172095,1614625945
2021-05-16,0.172340,0.192484,0.160351,0.176737,0.176737,2033029696
2021-05-17,0.176350,0.177331,0.149223,0.158021,0.158021,1890934542
2021-05-18,0.157592,0.171541,0.156453,0.162079,0.162079,1473736574
2021-05-19,0.162242,0.164342,0.068223,0.107669,0.107669,3454702256
2021-05-20,0.105323,0.145864,0.090340,0.131797,0.131797,2558614799
2021-05-21,0.130900,0.139134,0.090169,0.108660,0.108660,2093678100
2021-05-22,0.108573,0.111889,0.093559,0.099527,0.099527,1442149440
2021-05-23,0.099678,0.105495,0.065942,0.086936,0.086936,1936422717
2021-05-24,0.086481,0.117576,0.085687,0.111984,0.111984,1643873627
2021-05-25,0.112466,0.120179,0.104834,0.112363,0.112363,1451391633
2021-05-26,0.112826,0.140786,0.109965,0.133100,0.133100,1847952034
2021-05-27,0.133132,0.135692,0.119082,0.123299,0.123299,1189927887
2021-05-28,0.123692,0.125238,0.102830,0.108300,0.108300,1251620638
2021-05-29,0.108242,0.113749,0.092857,0.098990,0.098990,954502203
2021-05-30,0.098915,0.114379,0.093020,0.107572,0.107572,944816476
2021-05-31,0.107583,0.126158,0.102344,0.126158,0.126158,1099204273
2021-06-01,0.126073,0.129548,0.118057,0.120716,0.120716,982507747
2021-06-02,0.120701,0.131943,0.117262,0.125834,0.125834,908164506
2021-06-03,0.125882,0.145102,0.123508,0.142690,0.142690,1206422464
2021-06-04,0.143092,0.152797,0.120190,0.129297,0.129297,1834673568
2021-06-05,0.129156,0.141479,0.120714,0.125232,0.125232,1292109204
2021-06-06,0.125468,0.133851,0.124575,0.128627,0.128627,911866250
2021-06-07,0.128068,0.136442,0.113726,0.114423,0.114423,1021288398
2021-06-08,0.114716,0.118293,0.099930,0.113467,0.113467,1318667053
2021-06-09,0.112977,0.119982,0.105811,0.119982,0.119982,1119991466
2021-06-10,0.120066,0.121936,0.109424,0.111854,0.111854,900627272
2021-06-11,0.112026,0.114564,0.103549,0.104878,0.104878,786510169
2021-06-12,0.104865,0.107929,0.096929,0.106030,0.106030,784592087
2021-06-13,0.106339,0.115513,0.100160,0.112544,0.112544,613491927
2021-06-14,0.112400,0.116610,0.055995,0.113351,0.113351,581222278
2021-06-15,0.113400,0.115528,0.110157,0.111358,0.111358,696074596
2021-06-16,null,null,null,null,null,null
